"Invalid Authentication Code.","Invalid Authentication Code."
"Authentication Information","Authentication Information"
"Secret Key","Secret Key"
"QR Code","QR Code"
Authentication,Authentication
"Successfully Authenticated. Cheers...","Successfully Authenticated. Cheers..."
"Invalide Authentication Code!!!","Invalide Authentication Code!!!"
"Authentication Code","Authentication Code"
"* Required Fields","* Required Fields"
"Google 2Step Authentication","Google 2Step Authentication"
Authenticate,Authenticate
Authenticator,Authenticator
Landofcoder,Landofcoder
"Two Factor Authentication","Two Factor Authentication"
"General Configuration","General Configuration"
"Module Enable","Module Enable"
